NAME_2,centroid
Bruxelles,POINT (4.367414882050033 50.83642580516115)
Antwerpen,POINT (4.721043779498864 51.231900712244745)
Limburg,POINT (5.4357209224443475 50.98831159244354)
Oost-Vlaanderen,POINT (3.8188605810442007 51.03629347952689)
Vlaams Brabant,POINT (4.59072072950776 50.87303943005528)
West-Vlaanderen,POINT (3.0620446668608117 51.01019740435232)
Brabant Wallon,POINT (4.589736973914637 50.66605965845173)
Hainaut,POINT (3.9681364929631004 50.46387637972707)
Liège,POINT (5.7372263688290746 50.518876085615986)
Luxembourg,POINT (5.516735682549194 49.95849015160492)
Namur,POINT (4.862346452029854 50.252686235186815)
