ID,STATION
175,CHATELET-FAISCEAU C
176,CHATELET-FORMATION
177,CHATELET-GASOIL
178,CHAUDFONTAINE
179,CHENEE
180,CINEY
181,CLABECQ
182,CLABECQ-MARCHANDISES
183,COMBLAIN-LA-TOUR
184,COO
185,COUILLET
186,COUR-SUR-HEURE
187,COURCELLES-MOTTE
188,COURRIERE
189,COURT-SAINT-ETIENNE
190,COUVIN
191,CUESMES-A.C.
192,DAVE-SAINT-MARTIN
193,DE HOEK
194,DE PANNE
195,DE PINTE
196,DEINZE
197,DEINZE-WIJKSPOREN
198,DELTA
199,DENDERLEEUW
200,DENDERMONDE
201,DIEGEM
202,DIEPENBEEK
203,DIESDELLE
204,DIEST
205,DIKSMUIDE
206,DILBEEK
207,DINANT
208,DOLHAIN-GILEPPE
209,DRONGEN
210,DUFFEL
211,DUINBERGEN
212,ECAUSSINNES
213,EDE
214,EDINGEN
215,EEKLO
216,EICHEM
217,EIJSDEN
218,EINE
219,EKE-NAZARETH
220,EKEREN
221,EKEREN-BRUG
222,ENGIS
223,EPPEGEM
224,ERBISOEUL
225,EREMBODEGEM
226,ERNAGE
227,ERPE-MERE
228,ERPS-KWERPS
229,ERQUELINNES
230,ERQUELINNES-VILLAGE
231,ESNEUX
232,ESSEN
233,ESSENE-LOMBEEK
234,ETTERBEEK
235,EUPEN
236,EVERE
237,EVERGEM
238,EVERGEM-BUNDEL ZANDEKEN
239,EZEMAAL
240,FAMILLEUREUX
241,FARCIENNES
242,FAUX
243,FELUY-ZONING
244,FEXHE-LE-HAUT-CLOCHER
245,FLAWINNE
246,FLEMALLE-ANNEXE
247,FLEMALLE-GRANDE
248,FLEMALLE-HAUTE
249,FLEURUS
250,FLOREE
251,FLOREFFE
252,FLORENVILLE
253,FLORIVAL
254,FONTAINE-VALMONT
255,FORCHIES
256,FORRIERES
257,FRAIPONT
258,FRAMERIES
259,FRANCHIMONT
260,FRANIERE
261,FRANIERE-GARAGE
262,FROYENNES
263,GALMAARDEN
264,GASTUCHE
265,GAVERE-ASPER
266,GEDINNE
267,GEDINNE-MARCHANDISES
268,GEEL
269,GEMBLOUX
270,GENDRON-CELLES
271,GENK
272,GENK-GOEDEREN
273,GENK-ZUID-R.O.-HAVEN
274,GENLY
275,GENT-DAMPOORT
276,GENT-RODENHUIZE
277,GENT-SINT-PIETERS
278,GENT-SINT-PIETERS-BUNDEL B
279,GENT-SINT-PIETERS-BUNDEL C
280,GENT-SINT-PIETERS-BUNDELS
281,GENT-SINT-PIETERS-BUNDELS L/M
282,GENT-ZEEHAVEN
283,GENT-ZEEHAVEN-GROOT DOK
284,GENT-ZEEHAVEN-SIFFERDOK
285,GENT-ZEEHAVEN-SIFFERDOK R.O.
286,GENTBRUGGE
287,GENTBRUGGE-PERRON C.W.
288,GENVAL
289,GERAARDSBERGEN
290,GHLIN
291,GLONS
292,GODARVILLE
293,GODINNE
294,GONTRODE
295,GOUVY
296,GOUY-LEZ-PIETON
297,GRAIDE
298,GROENENDAAL
299,GROENENHOEK-WIJKBUNDEL
300,GROOT-BIJGAARDEN
301,GRUPONT
302,HAACHT
303,HAACHT-WIJKSPOOR
304,HAALTERT
305,HABAY
306,HAININ
307,HALANZY
308,HALLE
309,HALLE-GOEDEREN
310,HAM-SUR-HEURE
311,HAM-SUR-SAMBRE
312,HAMBOS
313,HAMOIR
314,HAMONT
315,HANSBEKE
316,HARCHIES
317,HARELBEKE
318,HAREN
319,HAREN-ZUID
320,HASSELT
321,HASSELT-AFLOS L.35
322,HASSELT-AFLOS L.35/1
323,HASSELT-AFWISSELING
324,HASSELT-BUNDEL E
325,HASSELT-L.C.I.
326,HASSELT-T.W.
327,HATRIVAL
328,HAUTE-FLONE
329,HAVERSIN
330,HAVERSIN-GARAGE
331,HAVINNES
332,HAVRE
333,HEIDE
334,HEIST
335,HEIST-OP-DEN-BERG
336,HEIZIJDE
337,HEMIKSEM
338,HENNUYERES
339,HENNUYERES-GARAGE
340,HERENT
341,HERENTALS
342,HERGENRATH
343,HERMALLE-SOUS-HUY
344,HERNE
345,HERSEAUX
346,HERSTAL
347,HERZELE
348,HEUSDEN
349,HEVER
350,HEVERLEE
351,HILLEGEM
352,HOBOKEN-POLDER
353,HOEILAART
354,HOFSTADE
355,HOLLEKEN
356,HONY
357,HOURAING
358,HOURPES
359,HOUYET
360,HOVE
361,HUIZINGEN
362,HUY
363,IDDERGEM
364,IDEGEM
365,IEPER
366,IEPER-GOEDEREN
367,INGELMUNSTER
368,IZEGEM
369,IZEGEM-SAS
370,IZEGEM-WIJKSPOOR
371,JAMBES
372,JAMBES-EST
373,JAMIOULX
374,JAVA
375,JEMAPPES
376,JEMELLE
377,JEMEPPE-FROIDMONT
378,JEMEPPE-SUR-MEUSE
379,JEMEPPE-SUR-SAMBRE
380,JEMEPPE-SUR-SAMBRE-MARCHANDISE
381,JETTE
382,JURBISE
383,JUSLENVILLE
384,KALMTHOUT
385,KAPELLE-OP-DEN-BOS
386,KAPELLEN
387,KAPELLEN-WIJKSPOOR
388,KESSEL
389,KIEWIT
390,KIJKUIT
391,KINKEMPOIS-A.T.
392,KINKEMPOIS-A.T./D.E.
393,KINKEMPOIS-FORMATION
