ID,STATION,REGION,Latitude,Longitude
0,Unknown,0,0.0,0.0
1,Aachen Hbf,4,50.76815777629032,6.091024233869147
2,AALST,2,50.94312325073359,4.038683507313092
3,AALST-KERREBROEK,2,50.94821624474852,4.024772702544726
4,AALST-OOST,2,50.93653755190277,4.049055382402094
5,AALTER,2,51.092257790002506,3.447855383142661
6,AARSCHOT,2,50.98449635402312,4.823698348087205
7,AARSELE,2,50.98449587636041,3.41837146665051
8,ACREN,1,50.73286590400645,3.847018189393436
9,AISEAU,1,50.429540552358695,4.584376485715092
10,ALKEN,2,50.88640023454381,5.2917494451345
11,AMAY,1,50.545921914645234,5.320609488070113
12,AMPSIN,1,50.539173756838665,5.288862317087052
13,Amsterdam Centraal,4,52.37919675346028,4.900245534172522
14,ANDENNE,1,50.496828764021714,5.095965480276991
15,Andenne-Marchandises,1,50.4881,5.0956
16,Andenne-Sas,1,50.4881,5.0956
17,ANDERLECHT,3,50.81791888922866,4.291539354096092
18,ANGLEUR,1,50.612530000533305,5.600948995019453
19,ANS,1,50.66119033232295,5.509696654040328
20,ANSEREMME,1,50.23801349191663,4.905565624496428
21,ANTOING,1,50.56964806602561,3.451351534421772
22,ANTWERPEN-BERCHEM,2,51.19887029477542,4.432979473744141
23,ANTWERPEN-CENTRAAL,2,51.21686203215482,4.421083630148361
24,ANTWERPEN-D.S.-ALASKA,2,51.250057000167565,4.374639995509923
25,ANTWERPEN-D.S.-ANGOLA,2,51.27285501680825,4.364890483075261
26,Antwerpen-D.S.-Basf,2,51.2281,4.3856
27,ANTWERPEN-D.S.-BERENDRECHT,2,51.31690464033985,4.326888599342023
28,ANTWERPEN-D.S.-COMBINANT,2,51.37155916396361,4.288421297808901
29,ANTWERPEN-D.S.-GROENLAND,2,51.25744800016483,4.372281995511438
30,ANTWERPEN-D.S.-IJSLAND,2,51.24426797020013,4.366271657608027
31,ANTWERPEN-D.S.-LILLO,2,51.29265100714515,4.344103688363305
32,ANTWERPEN-D.S.-OORDEREN,2,51.28297622111256,4.364428107103281
33,ANTWERPEN-D.S.-PETROL,2,51.26232512845235,4.343525751054314
34,ANTWERPEN-D.S.-WILMARSDONK,2,51.27423200016034,4.382366995509535
35,ANTWERPEN-DAM,2,51.23174780608355,4.426375562447598
36,Antwerpen-Ds-Noordzeeterminal,2,51.35774628098008,4.257258568841579
37,ANTWERPEN-HAVEN,2,51.291428018652965,4.379600948050882
38,ANTWERPEN-KIEL,2,51.19510575732426,4.366867799856109
39,ANTWERPEN-LUCHTBAL,2,51.24356131707571,4.424880242553035
40,ANTWERPEN-NOORD-BLOK M9-N9,2,51.29887398713565,4.364204991331077
41,ANTWERPEN-NOORD-BUNDEL A1,2,51.29370865864651,4.390865071152057
42,ANTWERPEN-NOORD-BUNDEL A2,2,51.29831459844093,4.375399170467966
43,ANTWERPEN-NOORD-BUNDEL B1,2,51.30045844064006,4.356487323236264
44,ANTWERPEN-NOORD-BUNDEL B2,2,51.29674240967092,4.372743730764786
45,ANTWERPEN-NOORD-BUNDEL B3,2,51.29262400015524,4.391642995508061
46,ANTWERPEN-NOORD-BUNDEL BVRD,2,51.29066242318363,4.385138314449759
47,ANTWERPEN-NOORD-BUNDEL C1,2,51.28904325038466,4.388902561127024
48,ANTWERPEN-NOORD-BUNDEL C2,2,51.29347186179171,4.371250112353589
49,ANTWERPEN-NOORD-BUNDEL D,2,51.28845945910244,4.389440047026183
50,ANTWERPEN-NOORD-BUNDEL N,2,51.28974590876166,4.391548539267766
51,ANTWERPEN-NOORD-C.H.W.,2,51.300362000148425,4.354519995521627
52,Antwerpen-Noord-Perron Chw,2,51.29978754730374,4.35426039553987
53,Antwerpen-Noord-Perron Mainhub,2,51.29978754730374,4.35426039553987
54,ANTWERPEN-NOORD-PERRON T.C.T.,2,51.290348831945096,4.384398447879232
55,ANTWERPEN-NOORD-T.W.,2,51.29196400015459,4.3838389955107
56,ANTWERPEN-NOORDERDOKKEN,2,51.261690355657,4.427946721182962
57,ANTWERPEN-OOST,2,51.20666767062443,4.434744621332205
58,ANTWERPEN-SCHIJNPOORT-BUNDEL Q,2,51.22220407698318,4.44510783052016
59,ANTWERPEN-SCHIJNPOORT-CARWASH,2,51.222878000184586,4.443561995483504
60,ANTWERPEN-W.H.-B.KALISHOEK,2,51.28471557903636,4.266391535103139
61,ANTWERPEN-W.H.-B.KALLO,2,51.242908956680864,4.273974825534323
62,ANTWERPEN-W.H.-B.KROMMENHOEK,2,51.291269528425545,4.246016983595496
63,ANTWERPEN-W.H.-B.LIEFKENSHOEK,2,51.28034657712604,4.281664528128667
64,ANTWERPEN-W.H.-B.ZUID,2,51.25044150039912,4.227542656950165
65,ANTWERPEN-ZUID,2,51.1972142827759,4.391779007128754
66,ANZEGEM,2,50.8262160325938,3.495470092200613
67,APPELTERRE,2,50.8131409498267,3.972353719832445
68,ARCADEN,3,50.80966821307966,4.39841318213881
69,ARCHENNES,1,50.754336747026784,4.662366455607478
70,ARLON,1,49.6799712091417,5.810609706149933
71,ARLON-P.E.D.,1,49.677811827558365,5.817160222608551
72,ASSE,2,50.906702570375934,4.208230395327966
73,ASSESSE,1,50.36867549683118,5.021448906114027
74,ATH,1,50.62703018190257,3.776393685861919
75,ATHUS,1,49.56385476097767,5.829224589707236
