ID,STATION,REGION
720,Thurn En Taxis,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
721,Tielen,Unknown region
722,Tielt,Vlaanderen
723,Tienen,Vlaanderen
724,Tilff,Wallonie
725,Tilleur,Wallonie
726,Tilly,Unknown region
727,Tilly-Garage,Unknown region
728,Tollembeek,Vlaanderen
729,Tongeren,Vlaanderen
730,Torhout,Vlaanderen
731,Tournai,Wallonie
732,Trois-Ponts,Wallonie
733,Troisvierges,Unknown region
734,Trooz,Wallonie
735,Tubize,Wallonie
736,Turnhout,Vlaanderen
737,Turnhout-Bundel,Unknown region
738,Ukkel-Kalevoet,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
739,Ukkel-Stalle,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
740,Veltem,Vlaanderen
741,Vertrijk,Vlaanderen
742,Vertrijk-Wijkspoor,Unknown region
743,Verviers-Central,Wallonie
744,Verviers-Est,Wallonie
745,Verviers-Palais,Wallonie
746,Veurne,Vlaanderen
747,Viane-Moerbeke,Vlaanderen
748,Vichte,Vlaanderen
749,Vielsalm,Wallonie
750,Vijfhuizen,Unknown region
751,Ville-Pommeroeul,Wallonie
752,Villers-La-Ville,Unknown region
753,Vilvoorde,Vlaanderen
754,Virton,Wallonie
755,Vise,Wallonie
756,Vise-Haut,Wallonie
757,Viville,Unknown region
758,Voroux,Wallonie
759,Voroux-Base Travaux Lgv,Unknown region
760,Vorst-Bundel M,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
761,Vorst-Carwash,Unknown region
762,Vorst-Oost,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
763,Vorst-Rijtuigen,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
764,Vorst-Rijtuigen-Dienstperron,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
765,Vorst-Rijtuigen-Perron Tw-Hst,Unknown region
766,Vorst-Zuid,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
767,Vorst-Zuid-Sporen 920/926,Unknown region
768,Waarschoot,Vlaanderen
769,Walcourt,Wallonie
770,Waregem,Vlaanderen
771,Waremme,Wallonie
772,Waterloo,Unknown region
773,Watermaal,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
774,Wavre,Wallonie
775,Weerde,Vlaanderen
776,Welkenraedt,Wallonie
777,Welle,Unknown region
778,Wervik,Vlaanderen
779,Wespelaar-Tildonk,Vlaanderen
780,Wetteren,Vlaanderen
781,Wevelgem,Vlaanderen
782,Wezemaal,Vlaanderen
783,Wichelen,Vlaanderen
784,Wien Hbf,Unknown region
785,Wijgmaal,Vlaanderen
786,Wildert,Vlaanderen
787,Willebroek,Vlaanderen
788,Wolfstee,Vlaanderen
789,Wondelgem,Vlaanderen
790,Wondelgem-Bundel,Unknown region
791,Yves-Gomezee,Wallonie
792,Yvoir,Wallonie
793,Zandbergen,Vlaanderen
794,Zaventem,Vlaanderen
795,Zedelgem,Vlaanderen
796,Zedelgem-Goederen,Unknown region
797,Zeebrugge-Bundel Pelikaan,Vlaanderen
798,Zeebrugge-Bundel Ramskapelle,Vlaanderen
799,Zeebrugge-Bundel Zwankendamme,Unknown region
800,Zeebrugge-Dorp,Vlaanderen
801,Zeebrugge-Strand,Vlaanderen
802,Zeebrugge-Voorhaven-West,Vlaanderen
803,Zeebrugge-Vorming,Vlaanderen
804,Zele,Vlaanderen
805,Zellik,Vlaanderen
806,Zelzate,Vlaanderen
807,Zelzate-Rieme,Vlaanderen
808,Zichem,Vlaanderen
809,Zingem,Vlaanderen
810,Zolder,Vlaanderen
811,Zolder-Kruissporen,Unknown region
812,Zonhoven,Vlaanderen
813,Zottegem,Vlaanderen
814,Zwankendamme,Vlaanderen
815,Zwijndrecht,Unknown region
816,Zwijndrecht-Wijksporen,Unknown region
