ID,STATION,REGION
80,Aye,Unknown region
81,Aywaille,Wallonie
82,Baasrode-Zuid,Vlaanderen
83,Balegem-Dorp,Vlaanderen
84,Balegem-Zuid,Vlaanderen
85,Balen,Vlaanderen
86,Balen-Werkplaatsen,Vlaanderen
87,Bambrugge,Vlaanderen
88,Barvaux,Wallonie
89,Bas-Oha,Wallonie
90,Basel Sbb,Unknown region
91,Basse-Wavre,Wallonie
92,Bassenge,Wallonie
93,Baulers,Wallonie
94,Beauraing,Wallonie
95,Beernem,Vlaanderen
96,Beersel,Vlaanderen
97,Beervelde,Vlaanderen
98,Begijnendijk,Vlaanderen
99,Beignee,Wallonie
100,Bellem,Vlaanderen
101,Belsele,Vlaanderen
102,Beringen,Vlaanderen
103,Beringen-Mijn,Vlaanderen
104,Berlaar,Vlaanderen
105,Berlin Hbf,Unknown region
106,Bertrix,Wallonie
107,Berzee,Wallonie
108,Beuzet,Wallonie
109,Beveren(Waas),Vlaanderen
110,Beverlo,Vlaanderen
111,Bierges-Walibi,Wallonie
112,Bierset-Awans,Wallonie
113,Bilzen,Vlaanderen
114,Bilzen-Wijkspoor,Unknown region
115,Binche,Wallonie
116,Bissegem,Vlaanderen
117,Blankenberge,Vlaanderen
118,Blanmont,Wallonie
119,Blaton,Wallonie
120,Bleret,Wallonie
121,Bockstael,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
122,Boechout,Vlaanderen
123,Bois D'Ausse,Wallonie
124,Bokrijk,Vlaanderen
125,Bomal,Wallonie
126,Booischot,Vlaanderen
127,Boom,Vlaanderen
128,Boondaal,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
129,Boortmeerbeek,Vlaanderen
130,Bordet,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
131,Bornem,Vlaanderen
132,Bosvoorde,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
133,Bourg-Saint-Maurice,Unknown region
134,Boussu,Wallonie
135,Bouwel,Vlaanderen
136,Bracquegnies,Wallonie
137,Braine-Alliance,Wallonie
138,Braine-Alliance-Cds824,Unknown region
139,Braine-L'Alleud,Wallonie
140,Braine-Le-Comte,Wallonie
141,Bressoux,Wallonie
142,Brugelette,Wallonie
143,Brugge,Vlaanderen
144,Brugge-Bundel A,Vlaanderen
145,Brugge-Bundel B,Vlaanderen
146,Brugge-Bundels U/V,Unknown region
147,Brugge-Dijk,Vlaanderen
148,Brugge-Sint-Pieters,Vlaanderen
149,Brussel-Centraal,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
150,Brussel-Congres,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
151,Brussel-Kapellekerk,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
152,Brussel-Klein-Eiland-Bundel F,Unknown region
153,Brussel-Klein-Eiland-Carwash,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
154,Brussel-Luxemburg,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
155,Brussel-Nationaal-Luchthaven,Vlaanderen
156,Brussel-Noord,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
157,Brussel-Schuman,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
158,Brussel-West,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
159,Brussel-Zuid,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
160,Brussel-Zuid-T.W.-Hst,Unknown region
161,Brussels Airport - Zaventem,Vlaanderen
162,Buda,Unknown region
163,Buggenhout,Vlaanderen
164,Buizingen,Vlaanderen
165,Burst,Vlaanderen
166,Callenelle,Wallonie
167,Cambron-Casteau,Wallonie
168,Carlsbourg,Wallonie
169,Carnieres,Unknown region
170,Ceroux-Mousty,Wallonie
171,Chapelle-Dieu,Wallonie
172,Chapois,Unknown region
173,Charleroi-A.T.,Wallonie
174,Charleroi-Central,Wallonie
175,Charleroi-Faisceau A,Wallonie
176,Charleroi-Ouest,Wallonie
177,Charleroi-Sud,Wallonie
178,Chastre,Wallonie
179,Chateau-De-Seilles,Wallonie
180,Chatelet,Unknown region
181,Chatelet-Carwash,Unknown region
182,Chatelet-Faisceau C,Unknown region
183,Chatelet-Formation,Unknown region
184,Chatelet-Gasoil,Unknown region
185,Chaudfontaine,Wallonie
186,Chenee,Unknown region
187,Ciney,Wallonie
188,Clabecq,Wallonie
189,Clabecq-Marchandises,Unknown region
190,Comblain-La-Tour,Wallonie
191,Coo,Unknown region
192,Couillet,Wallonie
193,Cour-Sur-Heure,Wallonie
194,Courcelles-Motte,Wallonie
195,Courriere,Wallonie
196,Court-Saint-Etienne,Wallonie
197,Couvin,Wallonie
198,Cuesmes-A.C.,Wallonie
199,Dave-Saint-Martin,Wallonie
200,De Hoek,Unknown region
201,De Panne,Vlaanderen
202,De Pinte,Vlaanderen
203,Deinze,Vlaanderen
204,Deinze-Wijksporen,Unknown region
205,Delta,Unknown region
206,Den Haag Hollands Spoor,Unknown region
207,Denderleeuw,Vlaanderen
208,Dendermonde,Vlaanderen
209,Diegem,Vlaanderen
210,Diepenbeek,Vlaanderen
211,Diesdelle,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
212,Diest,Vlaanderen
213,Diksmuide,Vlaanderen
214,Dilbeek,Vlaanderen
215,Dinant,Wallonie
216,Dolhain-Gileppe,Wallonie
217,Dortmund Hbf,Unknown region
218,Drongen,Vlaanderen
219,Duffel,Vlaanderen
220,Duinbergen,Vlaanderen
221,Ecaussinnes,Wallonie
222,Ede,Unknown region
223,Edingen,Wallonie
224,Eeklo,Vlaanderen
225,Eichem,Vlaanderen
226,Eijsden,Unknown region
227,Eine,Vlaanderen
228,Eke-Nazareth,Vlaanderen
229,Ekeren,Vlaanderen
230,Ekeren-Brug,Unknown region
231,Engis,Wallonie
232,Eppegem,Vlaanderen
233,Erbisoeul,Wallonie
234,Erembodegem,Vlaanderen
235,Ernage,Wallonie
236,Erpe-Mere,Vlaanderen
237,Erps-Kwerps,Vlaanderen
238,Erquelinnes,Wallonie
239,Erquelinnes-Frontiere,Wallonie
240,Erquelinnes-Village,Wallonie
241,Esneux,Wallonie
242,Essen,Unknown region
243,Essen-Grens,Vlaanderen
244,Essene-Lombeek,Vlaanderen
245,Etterbeek,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
246,Eupen,Wallonie
247,Evere,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
248,Evergem,Vlaanderen
249,Evergem-Bundel Zandeken,Unknown region
250,Ezemaal,Vlaanderen
251,Familleureux,Wallonie
252,Farciennes,Wallonie
253,Faux,Unknown region
254,Feluy-Zoning,Unknown region
255,Fexhe-Le-Haut-Clocher,Wallonie
256,Flawinne,Wallonie
257,Flemalle-Annexe,Unknown region
258,Flemalle-Grande,Wallonie
259,Flemalle-Haute,Wallonie
260,Fleurus,Wallonie
261,Floree,Wallonie
262,Floreffe,Wallonie
263,Florenville,Wallonie
264,Florival,Wallonie
265,Fontaine-Valmont,Wallonie
266,Forchies,Wallonie
267,Forrieres,Wallonie
268,Fraipont,Wallonie
269,Frameries,Wallonie
270,Franchimont,Wallonie
271,Franiere,Wallonie
272,Franiere-Garage,Unknown region
273,Frankfurt(Main) Hbf,Unknown region
274,Froyennes,Wallonie
275,Galmaarden,Vlaanderen
276,Gastuche,Wallonie
277,Gavere-Asper,Vlaanderen
278,Gedinne,Wallonie
279,Gedinne-Marchandises,Unknown region
280,Geel,Vlaanderen
281,Gembloux,Wallonie
282,Gendron-Celles,Wallonie
283,Genk,Vlaanderen
284,Genk-Goederen,Unknown region
285,Genk-Zuid-R.O.-Haven,Unknown region
286,Genly,Wallonie
287,Gent-Dampoort,Vlaanderen
288,Gent-Rodenhuize,Vlaanderen
289,Gent-Sint-Pieters,Vlaanderen
290,Gent-Sint-Pieters-Bundel B,Vlaanderen
291,Gent-Sint-Pieters-Bundel C,Vlaanderen
292,Gent-Sint-Pieters-Bundels,Unknown region
293,Gent-Sint-Pieters-Bundels L/M,Unknown region
294,Gent-Zeehaven,Vlaanderen
295,Gent-Zeehaven-Groot Dok,Vlaanderen
296,Gent-Zeehaven-Sifferdok,Vlaanderen
297,Gent-Zeehaven-Sifferdok R.O.,Vlaanderen
298,Gentbrugge,Vlaanderen
299,Gentbrugge-Perron C.W.,Vlaanderen
300,Genval,Wallonie
301,Geraardsbergen,Vlaanderen
302,Ghlin,Wallonie
303,Glons,Wallonie
304,Godarville,Wallonie
305,Godinne,Wallonie
306,Gontrode,Vlaanderen
307,Gouvy,Wallonie
308,Gouy-Lez-Pieton,Wallonie
309,Graide,Wallonie
310,Groenendaal,Vlaanderen
311,Groenenhoek-Wijkbundel,Unknown region
312,Groot-Bijgaarden,Vlaanderen
313,Grupont,Wallonie
314,Haacht,Vlaanderen
315,Haacht-Wijkspoor,Unknown region
316,Haaltert,Vlaanderen
317,Habay,Wallonie
318,Hainin,Wallonie
319,Halanzy,Wallonie
320,Halle,Unknown region
321,Halle-Goederen,Unknown region
322,Ham-Sur-Heure,Wallonie
323,Ham-Sur-Sambre,Wallonie
324,Hambos,Vlaanderen
325,Hamoir,Wallonie
326,Hamont,Vlaanderen
327,Hansbeke,Vlaanderen
328,Harchies,Wallonie
329,Harelbeke,Vlaanderen
330,Haren,Unknown region
331,Haren-Zuid,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
332,Hasselt,Vlaanderen
333,Hasselt-Aflos L.35,Unknown region
334,Hasselt-Aflos L.35/1,Unknown region
335,Hasselt-Afwisseling,Vlaanderen
336,Hasselt-Bundel E,Vlaanderen
337,Hasselt-L.C.I.,Unknown region
338,Hasselt-T.W.,Vlaanderen
339,Hatrival,Wallonie
340,Haute-Flone,Wallonie
341,Haversin,Wallonie
342,Haversin-Garage,Unknown region
343,Havinnes,Wallonie
344,Havre,Unknown region
345,Heide,Unknown region
346,Heist,Unknown region
347,Heist-Op-Den-Berg,Vlaanderen
348,Heizijde,Vlaanderen
349,Hemiksem,Vlaanderen
350,Hennuyeres,Wallonie
351,Hennuyeres-Garage,Unknown region
352,Herent,Vlaanderen
353,Herentals,Vlaanderen
354,Hergenrath,Wallonie
355,Hermalle-Sous-Huy,Wallonie
356,Herne,Unknown region
357,Herseaux,Wallonie
358,Herstal,Wallonie
359,Herzele,Unknown region
360,Heusden,Unknown region
361,Hever,Unknown region
362,Heverlee,Vlaanderen
363,Hillegem,Vlaanderen
364,Hoboken-Polder,Vlaanderen
365,Hoeilaart,Vlaanderen
366,Hofstade,Vlaanderen
367,Holleken,Vlaanderen
368,Hony,Wallonie
369,Houraing,Wallonie
370,Hourpes,Wallonie
371,Houyet,Wallonie
372,Hove,Unknown region
373,Huizingen,Vlaanderen
374,Huy,Wallonie
375,Iddergem,Vlaanderen
376,Idegem,Vlaanderen
377,Ieper,Vlaanderen
378,Ieper-Goederen,Unknown region
379,Ingelmunster,Vlaanderen
380,Izegem,Vlaanderen
381,Izegem-Sas,Vlaanderen
382,Izegem-Wijkspoor,Unknown region
383,Jambes,Wallonie
384,Jambes-Est,Wallonie
385,Jamioulx,Wallonie
386,Java,Unknown region
387,Jemappes,Wallonie
388,Jemelle,Wallonie
389,Jemeppe-Froidmont,Wallonie
390,Jemeppe-Sur-Meuse,Wallonie
391,Jemeppe-Sur-Sambre,Wallonie
392,Jemeppe-Sur-Sambre-Marchandise,Unknown region
393,Jette,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
394,Jurbise,Wallonie
395,Juslenville,Wallonie
396,Kalmthout,Vlaanderen
397,Kapelle-Op-Den-Bos,Vlaanderen
398,Kapellen,Vlaanderen
399,Kapellen-Wijkspoor,Vlaanderen
400,Kessel,Unknown region
401,Kiewit,Vlaanderen
402,Kijkuit,Unknown region
403,Kinkempois-A.T.,Unknown region
404,Kinkempois-A.T./D.E.,Unknown region
405,Kinkempois-Formation,Wallonie
406,Kinkempois-Reception,Unknown region
407,Kinkempois-Relais,Unknown region
408,Knokke,Vlaanderen
409,Koksijde,Vlaanderen
410,Koln Hbf,Unknown region
411,Komen,Unknown region
412,Kontich,Vlaanderen
413,Kontich-Lint,Vlaanderen
414,Kortemark,Vlaanderen
415,Kortenberg,Vlaanderen
416,Kortenberg-Goederen,Unknown region
417,Kortrijk,Vlaanderen
418,Kortrijk-Goederen,Unknown region
419,Kortrijk-T.O.P.,Unknown region
420,Kuregem-Doodspoor,Unknown region
421,Kwatrecht,Vlaanderen
